day,usd
2021-07-28T00:00:00+00:00,115.0344866
2021-07-29T00:00:00+00:00,185.977217088
2021-07-30T00:00:00+00:00,184.497570675
2021-07-31T00:00:00+00:00,203.34451192
2021-08-01T00:00:00+00:00,229.82900922000002
2021-08-02T00:00:00+00:00,222.70244035
2021-08-03T00:00:00+00:00,219.344068008
2021-08-04T00:00:00+00:00,267.377008752
2021-08-05T00:00:00+00:00,28.193127899999997
2021-08-06T00:00:00+00:00,521.21768639
2021-08-07T00:00:00+00:00,644.9165868499999
2021-08-08T00:00:00+00:00,290.905454976
2021-08-09T00:00:00+00:00,309.381333338
2021-08-10T00:00:00+00:00,502.82699728
2021-08-11T00:00:00+00:00,522.6153221850001
2021-08-12T00:00:00+00:00,273.28216176
2021-08-13T00:00:00+00:00,328.55053730400004
2021-08-14T00:00:00+00:00,473.482064025
2021-08-15T00:00:00+00:00,194.78593385399998
2021-08-16T00:00:00+00:00,489.25745629
2021-08-17T00:00:00+00:00,468.823020905
2021-08-18T00:00:00+00:00,395.69478494000003
2021-08-19T00:00:00+00:00,251.37144517499996
2021-08-20T00:00:00+00:00,442.34503609499995
2021-08-21T00:00:00+00:00,388.40366412000003
2021-08-22T00:00:00+00:00,421.0010360244
2021-08-23T00:00:00+00:00,400.10088684000004
2021-08-24T00:00:00+00:00,448.53398590000006
2021-08-25T00:00:00+00:00,419.06772894999995
2021-08-26T00:00:00+00:00,407.90181757000005
2021-08-27T00:00:00+00:00,490.97481239999996
2021-08-28T00:00:00+00:00,438.354752535
2021-08-29T00:00:00+00:00,517.76147136
2021-08-30T00:00:00+00:00,561.60424701
2021-08-31T00:00:00+00:00,583.67636171
2021-09-01T00:00:00+00:00,245.636879215
2021-09-02T00:00:00+00:00,106.125456556
2021-09-03T00:00:00+00:00,78.3539668
2021-09-04T00:00:00+00:00,264.508318076
2021-09-05T00:00:00+00:00,312.12900142200004
2021-09-06T00:00:00+00:00,393.4190579
2021-09-07T00:00:00+00:00,258.69907995
2021-09-08T00:00:00+00:00,347.15817576
2021-09-09T00:00:00+00:00,318.1665121325
2021-09-10T00:00:00+00:00,285.552878946
2021-09-11T00:00:00+00:00,163.34952069999997
2021-09-12T00:00:00+00:00,239.27599843
2021-09-13T00:00:00+00:00,246.922930125
2021-09-14T00:00:00+00:00,256.404238125
2021-09-15T00:00:00+00:00,255.64264215
2021-09-16T00:00:00+00:00,303.690158065
2021-09-17T00:00:00+00:00,204.37625538
2021-09-18T00:00:00+00:00,274.63219280000004
2021-09-19T00:00:00+00:00,315.7240080176
2021-09-20T00:00:00+00:00,279.056556705
2021-09-21T00:00:00+00:00,242.15727184699998
2021-09-22T00:00:00+00:00,260.29593435
2021-09-23T00:00:00+00:00,252.25649064000004
2021-09-24T00:00:00+00:00,234.68677464
2021-09-25T00:00:00+00:00,259.000386392
2021-09-26T00:00:00+00:00,271.66019891576383
2021-09-27T00:00:00+00:00,279.916194415
2021-09-28T00:00:00+00:00,266.85140339500003
2021-09-29T00:00:00+00:00,310.96291924026
2021-09-30T00:00:00+00:00,301.01611269999995
2021-10-01T00:00:00+00:00,458.593001136
2021-10-02T00:00:00+00:00,440.53248122
2021-10-03T00:00:00+00:00,376.88870373
2021-10-04T00:00:00+00:00,408.28263347999996
2021-10-05T00:00:00+00:00,430.93737075
2021-10-06T00:00:00+00:00,395.75553237
2021-10-07T00:00:00+00:00,445.426193156
2021-10-08T00:00:00+00:00,392.5051735
2021-10-09T00:00:00+00:00,394.88860080999996
2021-10-10T00:00:00+00:00,343.3362055
2021-10-11T00:00:00+00:00,406.63237354500006
2021-10-12T00:00:00+00:00,350.12500020000004
2021-10-13T00:00:00+00:00,450.267947375
2021-10-14T00:00:00+00:00,475.506192231
2021-10-15T00:00:00+00:00,483.628106125
2021-10-16T00:00:00+00:00,461.764089
2021-10-17T00:00:00+00:00,494.930337249
2021-10-18T00:00:00+00:00,468.62031075
2021-10-19T00:00:00+00:00,463.54432092
2021-10-20T00:00:00+00:00,414.1166982
2021-10-21T00:00:00+00:00,143.27415216270003
2021-10-22T00:00:00+00:00,359.48706821999997
2021-10-23T00:00:00+00:00,167.03892019999998
2021-10-24T00:00:00+00:00,407.8466805
2021-10-25T00:00:00+00:00,413.3703722
2021-10-26T00:00:00+00:00,470.777223438
2021-10-27T00:00:00+00:00,137.86818066
2021-10-28T00:00:00+00:00,534.73615175
2021-10-29T00:00:00+00:00,309.35628332
2021-10-30T00:00:00+00:00,127.263416776
2021-10-31T00:00:00+00:00,128.75372801999998
2021-11-01T00:00:00+00:00,2.1593285345
2021-11-02T00:00:00+00:00,137.9465466
2021-11-03T00:00:00+00:00,147.30572844800002
2021-11-04T00:00:00+00:00,159.40391544000002
2021-11-05T00:00:00+00:00,161.72863470000001
2021-11-06T00:00:00+00:00,162.914563404
2021-11-07T00:00:00+00:00,172.9428941849
2021-11-08T00:00:00+00:00,164.1564075636
2021-11-09T00:00:00+00:00,137.73386483500002
2021-11-10T00:00:00+00:00,155.165568737
2021-11-11T00:00:00+00:00,2.373913132
2021-11-12T00:00:00+00:00,149.9354384
2021-11-13T00:00:00+00:00,139.67319551999998
2021-11-14T00:00:00+00:00,130.979820076
2021-11-15T00:00:00+00:00,128.39314745599998
2021-11-16T00:00:00+00:00,127.92697152
2021-11-17T00:00:00+00:00,141.06034133400001
2021-11-18T00:00:00+00:00,139.405807905
2021-11-19T00:00:00+00:00,162.9686423462
2021-11-20T00:00:00+00:00,172.73445216300001
2021-11-21T00:00:00+00:00,169.06055544300003
2021-11-22T00:00:00+00:00,102.48327625
2021-11-23T00:00:00+00:00,174.18678016000004
2021-11-24T00:00:00+00:00,167.70728352720002
2021-11-25T00:00:00+00:00,221.199198199
2021-11-26T00:00:00+00:00,186.327822134
2021-11-27T00:00:00+00:00,179.27514734800002
2021-11-28T00:00:00+00:00,171.89799779999998
2021-11-29T00:00:00+00:00,177.40549844
2021-11-30T00:00:00+00:00,184.99364661540002
2021-12-01T00:00:00+00:00,142.112992356
2021-12-02T00:00:00+00:00,167.409690103
2021-12-03T00:00:00+00:00,156.746913997
2021-12-04T00:00:00+00:00,149.1236537192
2021-12-05T00:00:00+00:00,159.183510348
2021-12-06T00:00:00+00:00,186.169961699
2021-12-07T00:00:00+00:00,137.572833344
2021-12-08T00:00:00+00:00,22.106903550000002
2021-12-09T00:00:00+00:00,201.83868125100003
2021-12-10T00:00:00+00:00,189.7798423532
2021-12-11T00:00:00+00:00,231.46382792699998
2021-12-12T00:00:00+00:00,219.144852991
2021-12-13T00:00:00+00:00,189.33776165
2021-12-14T00:00:00+00:00,153.9125766
2021-12-15T00:00:00+00:00,216.52507780200003
2021-12-16T00:00:00+00:00,79.65846726
2021-12-17T00:00:00+00:00,223.3293499625
2021-12-18T00:00:00+00:00,238.47283205999997
2021-12-19T00:00:00+00:00,27.583977232
2021-12-20T00:00:00+00:00,264.82022468900004
2021-12-21T00:00:00+00:00,221.81638743
2021-12-22T00:00:00+00:00,275.408919435
2021-12-23T00:00:00+00:00,2.2657995552499997
2021-12-24T00:00:00+00:00,184.78947991500002
2021-12-25T00:00:00+00:00,241.508578542
2021-12-26T00:00:00+00:00,244.56893484
2021-12-27T00:00:00+00:00,234.391794256
2021-12-28T00:00:00+00:00,281.726311828
2021-12-29T00:00:00+00:00,325.497081353
2021-12-30T00:00:00+00:00,316.03273666
2021-12-31T00:00:00+00:00,312.83474417499997
2022-01-01T00:00:00+00:00,320.569317135
2022-01-02T00:00:00+00:00,287.31563715
2022-01-03T00:00:00+00:00,357.79211961000004
2022-01-04T00:00:00+00:00,489.28673619540007
2022-01-05T00:00:00+00:00,676.37383719
2022-01-06T00:00:00+00:00,645.856068564
2022-01-07T00:00:00+00:00,318.8573485
2022-01-08T00:00:00+00:00,464.52460485000006
2022-01-09T00:00:00+00:00,316.2497599
2022-01-10T00:00:00+00:00,230.679158325
2022-01-11T00:00:00+00:00,246.54035960000002
2022-01-12T00:00:00+00:00,168.65119885
2022-01-13T00:00:00+00:00,177.117054607
2022-01-14T00:00:00+00:00,165.65146420000002
2022-01-15T00:00:00+00:00,266.85234784
2022-01-16T00:00:00+00:00,281.846696544
2022-01-17T00:00:00+00:00,257.15195688
2022-01-18T00:00:00+00:00,221.83012922000003
2022-01-19T00:00:00+00:00,242.765821272
2022-01-20T00:00:00+00:00,279.375429375
2022-01-21T00:00:00+00:00,251.80622631539998
2022-01-22T00:00:00+00:00,201.617936116
2022-01-23T00:00:00+00:00,200.78805
2022-01-24T00:00:00+00:00,197.459536705
2022-01-25T00:00:00+00:00,122.63004654999999
2022-01-26T00:00:00+00:00,218.38822767000002
2022-01-27T00:00:00+00:00,93.55463508000001
2022-01-28T00:00:00+00:00,277.86004012
2022-01-29T00:00:00+00:00,285.75612978000004
2022-01-30T00:00:00+00:00,297.99569584799997
2022-01-31T00:00:00+00:00,242.12125008
2022-02-01T00:00:00+00:00,237.67515091
2022-02-02T00:00:00+00:00,215.7527356
2022-02-03T00:00:00+00:00,237.95707108399998
2022-02-04T00:00:00+00:00,298.8957761
2022-02-05T00:00:00+00:00,301.97557900000004
2022-02-06T00:00:00+00:00,171.493028672
2022-02-07T00:00:00+00:00,31.454617699999996
2022-02-08T00:00:00+00:00,291.41433564
2022-02-09T00:00:00+00:00,191.085134782
2022-02-10T00:00:00+00:00,101.532533322
2022-02-11T00:00:00+00:00,87.83714583
2022-02-12T00:00:00+00:00,2.913835368
2022-02-13T00:00:00+00:00,100.67508759530001
2022-02-14T00:00:00+00:00,2.933384543
2022-02-15T00:00:00+00:00,104.956386942
2022-02-16T00:00:00+00:00,94.27828647
2022-02-17T00:00:00+00:00,95.072285913
2022-02-18T00:00:00+00:00,97.532696765
2022-02-19T00:00:00+00:00,93.985049848
2022-02-20T00:00:00+00:00,97.46508882999998
2022-02-21T00:00:00+00:00,95.278489877
2022-02-22T00:00:00+00:00,77.88976728000002
2022-02-23T00:00:00+00:00,85.56433974
2022-02-24T00:00:00+00:00,83.14472416
2022-02-25T00:00:00+00:00,88.667125824
2022-02-26T00:00:00+00:00,69.4746616
2022-02-27T00:00:00+00:00,78.80769507000001
2022-02-28T00:00:00+00:00,94.75188586499999
2022-03-01T00:00:00+00:00,86.02407489
2022-03-02T00:00:00+00:00,88.23071652000002
2022-03-03T00:00:00+00:00,85.02281124
2022-03-04T00:00:00+00:00,78.51317673
2022-03-05T00:00:00+00:00,80.06484884999999
2022-03-06T00:00:00+00:00,76.68287265
2022-03-07T00:00:00+00:00,72.408088154
2022-03-08T00:00:00+00:00,72.130077824
2022-03-09T00:00:00+00:00,83.1971070915
2022-03-10T00:00:00+00:00,75.709826952
2022-03-11T00:00:00+00:00,64.04036459999999
2022-03-12T00:00:00+00:00,72.271048388
2022-03-13T00:00:00+00:00,74.0254913076
2022-03-14T00:00:00+00:00,75.99693479999999
2022-03-15T00:00:00+00:00,78.3426517523
2022-03-16T00:00:00+00:00,82.85035646680001
2022-03-17T00:00:00+00:00,84.58535781
2022-03-18T00:00:00+00:00,86.1666971751
2022-03-19T00:00:00+00:00,73.65729395
2022-03-20T00:00:00+00:00,82.6624049581
2022-03-21T00:00:00+00:00,72.374708875
2022-03-22T00:00:00+00:00,71.27212188
2022-03-23T00:00:00+00:00,73.6960613452
2022-03-24T00:00:00+00:00,70.0353069075
2022-03-25T00:00:00+00:00,74.464899024
2022-03-26T00:00:00+00:00,84.39717753359999
2022-03-27T00:00:00+00:00,91.6372530603
2022-03-28T00:00:00+00:00,83.61997649999999
2022-03-29T00:00:00+00:00,84.50141282130001
2022-03-30T00:00:00+00:00,6.768428474
2022-03-31T00:00:00+00:00,6.572541902
2022-04-01T00:00:00+00:00,99.791432665
2022-04-02T00:00:00+00:00,98.2567920045
2022-04-03T00:00:00+00:00,87.818188975
2022-04-04T00:00:00+00:00,70.57091972
2022-04-05T00:00:00+00:00,85.745347475
2022-04-06T00:00:00+00:00,63.59829022
2022-04-07T00:00:00+00:00,48.63192651000001
2022-04-08T00:00:00+00:00,57.0576496726
2022-04-09T00:00:00+00:00,57.16008312
2022-04-10T00:00:00+00:00,54.0871783368
2022-04-11T00:00:00+00:00,44.79680001
2022-04-12T00:00:00+00:00,57.242925274499996
2022-04-13T00:00:00+00:00,54.667509085
2022-04-14T00:00:00+00:00,5.1346556526
2022-04-15T00:00:00+00:00,55.8947110624
2022-04-16T00:00:00+00:00,56.210265762599995
2022-04-17T00:00:00+00:00,53.880839028
2022-04-18T00:00:00+00:00,52.062457687
2022-04-19T00:00:00+00:00,55.849956678
2022-04-20T00:00:00+00:00,43.153083693999996
2022-04-21T00:00:00+00:00,5.967321772
2022-04-22T00:00:00+00:00,50.37609556300001
2022-04-23T00:00:00+00:00,38.428671502
2022-04-24T00:00:00+00:00,38.04347378
2022-04-25T00:00:00+00:00,47.6042948216
2022-04-26T00:00:00+00:00,44.823980864
2022-04-27T00:00:00+00:00,33.507102767199996
2022-04-28T00:00:00+00:00,29.328201540000002
2022-04-29T00:00:00+00:00,38.3167303584
2022-04-30T00:00:00+00:00,41.018704275
2022-05-01T00:00:00+00:00,41.0774885525
2022-05-02T00:00:00+00:00,38.395129464600004
2022-05-03T00:00:00+00:00,36.240697662
2022-05-04T00:00:00+00:00,41.445811707
2022-05-05T00:00:00+00:00,38.471800542
2022-05-06T00:00:00+00:00,35.094261007
2022-05-07T00:00:00+00:00,26.45077264
2022-05-08T00:00:00+00:00,25.232140129999998
2022-05-09T00:00:00+00:00,26.286665535
2022-05-10T00:00:00+00:00,28.103004936
2022-05-11T00:00:00+00:00,16.51461284
2022-05-12T00:00:00+00:00,27.526847964
2022-05-13T00:00:00+00:00,29.363130194000004
2022-05-14T00:00:00+00:00,26.816158434
2022-05-15T00:00:00+00:00,27.873517021999998
2022-05-16T00:00:00+00:00,28.37762319
2022-05-17T00:00:00+00:00,27.297104224
2022-05-18T00:00:00+00:00,22.7503896705891
2022-05-19T00:00:00+00:00,26.291498168
2022-05-20T00:00:00+00:00,24.1890569631
2022-05-21T00:00:00+00:00,23.731428288
2022-05-22T00:00:00+00:00,20.47132148
2022-05-23T00:00:00+00:00,22.728408088
2022-05-24T00:00:00+00:00,19.79237597
2022-05-25T00:00:00+00:00,19.4326516
2022-05-26T00:00:00+00:00,19.884385697000003
2022-05-27T00:00:00+00:00,17.250274429999997
2022-05-28T00:00:00+00:00,17.97668723
2022-05-29T00:00:00+00:00,5.080995416
2022-05-30T00:00:00+00:00,7.976242672
2022-05-31T00:00:00+00:00,17.540590176
2022-06-01T00:00:00+00:00,18.28232482
2022-06-02T00:00:00+00:00,15.9896235729
2022-06-03T00:00:00+00:00,7.103426996
2022-06-04T00:00:00+00:00,14.443136064
2022-06-05T00:00:00+00:00,15.3602305495
2022-06-06T00:00:00+00:00,17.471059743799998
2022-06-07T00:00:00+00:00,10.21088002
2022-06-08T00:00:00+00:00,14.1704423125
2022-06-09T00:00:00+00:00,13.9372440714
2022-06-10T00:00:00+00:00,14.684978505
2022-06-11T00:00:00+00:00,12.1303340808
2022-06-12T00:00:00+00:00,8.602615362
2022-06-13T00:00:00+00:00,8.486709812
2022-06-14T00:00:00+00:00,8.476732299
2022-06-15T00:00:00+00:00,8.8162851498
2022-06-16T00:00:00+00:00,8.37504282
2022-06-17T00:00:00+00:00,8.4247685808
2022-06-18T00:00:00+00:00,8.621454192
2022-06-19T00:00:00+00:00,8.015598008100001
2022-06-20T00:00:00+00:00,8.886587394
2022-06-21T00:00:00+00:00,9.228505844399999
2022-06-22T00:00:00+00:00,8.5141575168
2022-06-23T00:00:00+00:00,10.164920426000002
2022-06-24T00:00:00+00:00,10.908952083
2022-06-25T00:00:00+00:00,11.9659633072
2022-06-26T00:00:00+00:00,11.5488124862
2022-06-27T00:00:00+00:00,10.6217596193
2022-06-28T00:00:00+00:00,11.44021364
2022-06-29T00:00:00+00:00,9.7478755
2022-06-30T00:00:00+00:00,5.088327684999999
2022-07-01T00:00:00+00:00,9.622032714
2022-07-02T00:00:00+00:00,9.965195078499999
2022-07-03T00:00:00+00:00,5.314455904999999
2022-07-04T00:00:00+00:00,8.850820528
2022-07-05T00:00:00+00:00,9.587889346999999
2022-07-06T00:00:00+00:00,9.094150312
